mixed,cat,date,num
,5A51,2013-02-18,
,5S11,2013-02-14,
,5S11,2013-01-07,
,5S11,2013-01-06,
,5S11,2013-02-28,
,5S11,2013-02-15,
,5S11,2013-02-13,
,5S11,2013-01-10,
,5S31,2013-02-11,
,5S31,2013-02-18,
,5S31,2013-02-16,
,8A94,2013-02-26,
,3G51,2013-02-06,26.41296
,3G51,2013-02-10,26.41907
,3G51,2013-02-28,26.39008
,8W11,2013-02-05,100
,8W11,2013-01-16,100
,8W11,2013-02-23,100
,8W11,2013-02-15,100
,8W11,2013-01-05,100
,3B15,2013-01-27,
,3A53,2013-02-11,
,3A53,2013-01-17,
,3A53,2013-01-17,
,3A53,2013-02-12,
,3A53,2013-01-22,
,3A53,2013-01-20,
,3A53,2013-02-24,
,3M21,2013-02-22,66.47186
,3M21,2013-01-16,66.46881
,3M21,2013-02-25,66.54663
,3M21,2013-02-26,66.56342
,3M21,2013-01-05,66.56189
,3M21,2013-01-01,66.57715
,3M21,2013-01-26,66.59851
,3M21,2013-02-23,
,3M21,2013-01-29,
,3M21,2013-01-20,
,3M21,2013-01-26,
,3M21,2013-01-01,
,8J12,2013-01-04,37.29248
,8J12,2013-01-27,37.90283
,8J12,2013-02-03,37.93945
,1S71,2013-01-19,43.5791
,1S71,2013-01-12,43.60352
,1S71,2013-02-14,44.58008
,1S71,2013-02-04,44.53125
,1S71,2013-02-11,0
,1S71,2013-02-12,0
,XM53,2013-02-28,44.33221068
,XM53,2013-01-16,44.22997674
,XM53,2013-01-15,44.20403716
,XM53,2013-02-13,44.42375922
,8.00E+57,2013-01-28,
,8.00E+57,2013-01-20,
,5A32,2013-01-28,
,5A32,2013-01-15,
,5A32,2013-02-05,
,5A73,2013-01-02,
,5S31,2013-01-01,
,5S31,2013-02-17,
,5S31,2013-02-04,
,5S31,2013-03-01,
2795,7.00E+41,2013-02-20,85.34851026
7955,7.00E+41,2013-02-22,89.68047826
,5T31,2013-02-04,
,5T31,2013-02-28,
,5.00E+51,2013-01-29,0
,5.00E+51,2013-01-18,0
,YG41,2013-01-10,
,YG41,2013-02-16,
,YG41,2013-01-15,
,YG41,2013-02-21,
,YG41,2013-02-09,
,5D11,2013-01-15,
,5D11,2013-02-01,
,5A31,2013-01-25,
,HZ11,2013-02-15,0
,HZ11,2013-02-16,0
0,KY51,2013-02-20,0
0,KY51,2013-01-04,0
,JA53,2013-01-28,0
0.03999289,7A22,2013-02-15,0.161737428
0.04561697,7A22,2013-01-25,0.134279906
0.045634317,7A22,2013-02-20,0.135799905
